,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
22930,相安,verb,1.0,1.0,PE,1,0,,,,,
22931,相与,noun,1.0,1.0,PB,3,0,,,,,
22932,享年,noun,1.0,1.0,PD,5,1,,,,,
22933,想头,noun,1.0,1.0,PK,3,0,,,,,
22934,象牙之塔,noun,1.0,1.0,NN,5,3,PB,5.0,3.0,,
22935,消弭,verb,1.0,1.0,PE,1,0,,,,,
22936,萧飒,adj,1.0,1.0,NB,3,0,,,,,
22937,小弟,noun,2.0,2.0,PB,1,0,,,,,
22938,小心,verb,1.0,1.0,NC,1,0,,,,,
22939,笑面虎,noun,1.0,1.0,NN,5,2,,,,,
22940,歇心,adj,1.0,1.0,PE,5,0,,,,,
22941,谐谑,verb,1.0,1.0,PA,5,0,,,,,
22942,少礼,noun,2.0,2.0,PD,3,1,,,,,
22943,舍身,noun,1.0,1.0,PH,5,1,,,,,
22944,申冤,verb,2.0,1.0,NB,7,0,,,,,
22945,呻吟,noun,1.0,1.0,NB,5,0,,,,,
22946,神品,noun,1.0,1.0,PH,9,1,,,,,
22947,神悟,noun,1.0,1.0,PH,7,1,,,,,
22948,蜃景,noun,1.0,1.0,NN,3,2,NJ,3.0,2.0,,
22949,生病,verb,1.0,1.0,NB,5,0,,,,,
22950,生业,noun,1.0,1.0,PE,3,0,,,,,
22951,胜券,noun,1.0,1.0,PA,3,0,,,,,
22952,失火,noun,1.0,1.0,NI,5,0,NC,7.0,0.0,,
22953,失灵,adj,1.0,1.0,NI,7,0,NC,5.0,0.0,,
22954,失却,noun,1.0,1.0,NB,5,0,,,,,
22955,失陷,noun,1.0,1.0,NB,5,0,,,,,
22956,迫降,noun,2.0,2.0,NE,3,0,NC,3.0,0.0,,
22957,破获,verb,1.0,1.0,PH,7,1,,,,,
22958,剖白,verb,1.0,1.0,,3,0,PK,3.0,0.0,,
22959,菩提,noun,1.0,1.0,PD,5,0,,,,,
22960,谱写,verb,1.0,1.0,PH,5,1,,,,,
22961,期许,verb,1.0,1.0,PK,7,0,,,,,
22962,齐截,adj,2.0,2.0,PH,5,1,,,,,
22963,奇谈,noun,1.0,1.0,PC,7,0,,,,,
22964,歧出,noun,1.0,1.0,NN,5,2,,,,,
22965,乞灵,verb,1.0,1.0,PK,5,0,,,,,
22966,启蒙,noun,1.0,1.0,PH,3,1,,,,,
22967,起色,noun,1.0,1.0,PA,3,1,,,,,
22968,气候,noun,2.0,1.0,PH,3,1,,,,,
22969,气吁吁,adj,1.0,1.0,NI,5,0,,,,,
22970,契合,adj,1.0,1.0,PH,3,1,,,,,
22971,千斤,noun,2.0,1.0,PD,7,0,PG,3.0,0.0,,
22972,牵扯,noun,1.0,1.0,NN,5,2,,,,,
22973,谦让,verb,1.0,1.0,PH,5,1,,,,,
22974,前途,noun,1.0,1.0,PH,3,0,,,,,
22975,潜力,noun,1.0,1.0,PH,5,1,PG,5.0,1.0,,
22976,着魔,adj,1.0,1.0,PB,9,0,,,,,
22977,自视,verb,1.0,1.0,NN,5,2,,,,,
22978,节奏,adj,2.0,2.0,PH,3,0,,,,,
22979,展翅,verb,1.0,1.0,PA,3,0,PH,1.0,0.0,,
22980,警句,noun,1.0,1.0,PB,3,1,,,,,
22981,无所顾忌,idiom,1.0,1.0,NN,5,0,,,,,
22982,粗放,adj,1.0,1.0,PH,3,3,NN,3.0,2.0,,
22983,暴跳,verb,1.0,1.0,,9,0,NI,7.0,0.0,,
22984,忿忿然,adj,1.0,1.0,,5,0,,,,,
22985,惊怖,adj,1.0,1.0,NC,9,0,,,,,
22986,凄婉,adj,1.0,1.0,NB,5,0,,,,,
22987,不容怀疑,idiom,1.0,1.0,PG,7,0,,,,,
22988,漫无目标,idiom,1.0,1.0,NN,5,2,NE,5.0,2.0,,
22989,手软,verb,1.0,1.0,NN,3,0,,,,,
22990,前程万里,idiom,1.0,1.0,PH,9,1,,,,,
22991,情愿,adj,1.0,1.0,PA,3,0,PG,1.0,0.0,,
22992,信任,verb,1.0,1.0,PG,5,0,,,,,
22993,非同寻常,idiom,1.0,1.0,PD,3,0,NI,3.0,0.0,,
22994,虚惊,adj,1.0,1.0,PE,5,0,,,,,
22995,厌世,verb,1.0,1.0,NE,7,0,ND,5.0,0.0,,
22996,挟冤记仇,idiom,1.0,1.0,ND,7,0,,,,,
22997,请君入瓮,idiom,1.0,1.0,NN,3,0,,,,,
22999,自投罗网,idiom,1.0,1.0,NN,5,0,,,,,
23000,受惊,verb,1.0,1.0,NC,5,0,,,,,
23001,得名,verb,1.0,1.0,PH,3,1,PD,3.0,1.0,,
23002,翻天覆地,idiom,2.0,2.0,PH,3,0,,,,,
23003,端详,adj,1.0,1.0,PH,3,1,PH,3.0,1.0,,
23004,业绩,noun,1.0,1.0,PH,3,0,,,,,
23005,创收,verb,1.0,1.0,PH,3,0,,,,,
23006,神领意得,idiom,1.0,1.0,PA,3,0,,,,,
23007,如梦初醒,idiom,1.0,1.0,PA,5,0,PE,5.0,0.0,,
23008,卸任,verb,1.0,1.0,NB,5,2,,,,,
23009,谢客,noun,2.0,2.0,PD,5,0,,,,,
23010,谢意,noun,1.0,1.0,PD,5,0,,,,,
23011,心肝,noun,2.0,2.0,PB,9,0,,,,,
23012,心弦,noun,1.0,1.0,PB,5,0,,,,,
23013,新人,noun,3.0,1.0,PH,7,1,,,,,
23014,信托,noun,2.0,1.0,PG,5,0,,,,,
23015,腥气,noun,2.0,1.0,ND,5,0,,,,,
23016,行善,noun,1.0,1.0,PH,5,1,,,,,
23017,凶信,noun,1.0,1.0,NB,9,0,,,,,
23018,虚悬,verb,1.0,1.0,NN,5,2,,,,,
23019,加塞儿,noun,1.0,1.0,NN,7,2,,,,,
23020,戛戛,adj,2.0,2.0,PH,3,0,,,,,
23021,尖锐,adj,1.0,1.0,PH,5,1,,,,,
23022,健步,noun,1.0,1.0,PH,5,1,,,,,
23023,震撼,noun,1.0,1.0,NC,7,0,,,,,
23024,鹤发鸡皮,idiom,1.0,1.0,NB,5,0,,,,,
23025,齿白唇红,idiom,1.0,1.0,PH,7,1,,,,,
23026,环肥蕉痪,idiom,1.0,1.0,PH,7,1,,,,,
23027,明眸皓齿,idiom,1.0,1.0,PH,7,1,,,,,
23028,稚齿婑婿,idiom,1.0,1.0,PH,7,1,,,,,
23029,蜂目豺声,idiom,1.0,1.0,ND,7,1,,,,,
23030,油头粉面,idiom,1.0,1.0,NN,5,2,,,,,
23031,轶群绝类,idiom,1.0,1.0,PH,7,1,,,,,
23032,意气飞扬,idiom,1.0,1.0,PH,5,1,,,,,
23033,因敌为资,idiom,1.0,1.0,PH,5,0,,,,,
23034,银花火树,idiom,1.0,1.0,PB,3,0,,,,,
23035,淫言媟语,idiom,1.0,1.0,ND,5,2,,,,,
23037,引绳棋布,idiom,1.0,1.0,PH,5,1,,,,,
23038,饮冰食蘖,idiom,1.0,1.0,PH,5,1,,,,,
23039,隐居求志,idiom,1.0,1.0,PD,5,1,,,,,
23040,莺歌蝶舞,idiom,1.0,1.0,PA,5,0,,,,,
23041,鹰瞵虎攫,idiom,1.0,1.0,ND,5,2,,,,,
23042,营蝇斐锦,idiom,1.0,1.0,ND,5,2,,,,,
23043,应弦而倒,idiom,1.0,1.0,PH,5,1,,,,,
23044,拥政爱民,idiom,1.0,1.0,PD,5,1,,,,,
23045,雍容閒雅,idiom,1.0,1.0,PH,5,1,,,,,
23046,优游涵泳,idiom,1.0,1.0,PE,3,0,,,,,
23047,油光水滑,idiom,2.0,2.0,ND,3,2,,,,,
23048,游骑无归,idiom,1.0,1.0,NN,5,1,,,,,
23049,游响停云,idiom,1.0,1.0,PH,7,1,,,,,
23050,有始有卒,idiom,1.0,1.0,PH,7,1,,,,,
23051,有眼无瞳,idiom,1.0,1.0,NN,7,2,,,,,
23052,有声无实,idiom,1.0,1.0,NN,5,2,,,,,
23053,余声三日,idiom,1.0,1.0,PH,9,1,,,,,
23054,余音缭绕,idiom,1.0,1.0,PH,9,1,,,,,
23055,鱼目混珎,idiom,1.0,1.0,NN,7,2,,,,,
23056,鱼游釜底,idiom,1.0,1.0,NC,7,0,,,,,
23057,鱼跃鸢飞,idiom,1.0,1.0,PB,7,1,,,,,
23059,瑜百瑕一,idiom,1.0,1.0,PH,5,1,,,,,
23060,愚眉肉眼,idiom,1.0,1.0,NN,5,2,,,,,
23061,雨散风流,idiom,1.0,1.0,NB,7,0,,,,,
23062,雨帘云栋,idiom,1.0,1.0,PH,7,1,,,,,
23063,语妙绝伦,idiom,1.0,1.0,PH,7,1,,,,,
23064,玉柱擎天,idiom,1.0,1.0,PH,9,1,,,,,
23065,玉减香消,idiom,1.0,1.0,NB,7,0,,,,,
23066,玉润冰清,idiom,1.0,1.0,PH,9,1,,,,,
23067,郁郁沉沉,idiom,1.0,1.0,PH,7,1,,,,,
23068,遇难成祥,idiom,1.0,1.0,PE,7,0,,,,,
23069,鸢肩羔膝,idiom,1.0,1.0,NN,5,2,,,,,
23070,渊涌风厉,idiom,1.0,1.0,PH,5,1,,,,,
23071,沅芷澧兰,idiom,1.0,1.0,PH,7,1,,,,,
23072,托福,verb,1.0,1.0,PH,5,2,,,,,
23073,脱班,verb,1.0,1.0,NN,5,2,,,,,
23074,外宾,noun,1.0,1.0,PD,5,0,,,,,
23075,晚节,noun,1.0,1.0,PH,5,0,,,,,
23076,枉费,verb,1.0,1.0,NJ,5,2,,,,,
23077,威权,noun,1.0,1.0,PD,5,1,,,,,
23078,违抗,verb,1.0,1.0,NN,5,2,,,,,
23080,驷马莫追,idiom,1.0,1.0,PH,7,1,,,,,
23081,松茂竹苞,idiom,1.0,1.0,PH,9,1,,,,,
23082,崧生岳降,idiom,1.0,1.0,PH,9,1,,,,,
23083,送往事居,idiom,1.0,1.0,PE,7,1,,,,,
23084,颂声载道,idiom,1.0,1.0,PH,9,1,,,,,
23085,夙兴昧旦,idiom,1.0,1.0,PH,9,1,,,,,
23086,随人作计,idiom,1.0,1.0,NN,5,2,,,,,
23087,随车夏雨,idiom,1.0,1.0,PH,9,1,,,,,
23088,随俗浮沈,idiom,1.0,1.0,NN,7,2,,,,,
23089,随高就低,idiom,1.0,1.0,PH,9,1,,,,,
23090,随声趋和,idiom,1.0,1.0,NN,7,2,,,,,
23091,遂心快意,idiom,1.0,1.0,PA,9,1,,,,,
23092,碎心裂胆,idiom,1.0,1.0,NC,9,2,,,,,
23093,所向克捷,idiom,1.0,1.0,PH,9,1,,,,,
23094,太山北斗,idiom,1.0,1.0,PD,9,1,,,,,
23095,贪吃懒做,idiom,1.0,1.0,ND,9,2,,,,,
23097,谈玄说妙,idiom,1.0,1.0,PH,7,1,,,,,
23098,谈论风生,idiom,1.0,1.0,PH,7,1,,,,,
23099,忐忑不定,idiom,1.0,1.0,NI,7,2,,,,,
23100,探赜索隐,idiom,1.0,1.0,PH,5,1,,,,,
23101,堂皇富丽,idiom,1.0,1.0,PH,7,1,,,,,
23102,韬光俟奋,idiom,1.0,1.0,PH,7,1,,,,,
23103,桃李争妍,idiom,1.0,1.0,PH,7,1,,,,,
23104,桃羞杏让,idiom,1.0,1.0,PH,7,1,,,,,
23105,讨恶翦暴,idiom,1.0,1.0,PH,7,1,,,,,
23106,腾声飞实,idiom,1.0,1.0,PH,9,1,,,,,
23107,提心在口,idiom,1.0,1.0,NC,9,1,,,,,
23108,体规画圆,idiom,1.0,1.0,NN,7,2,,,,,
23112,天老地荒,idiom,1.0,1.0,PH,9,1,,,,,
23113,天昏地黑,idiom,4.0,4.0,NN,9,2,,,,,
23114,天崩地坍,idiom,1.0,1.0,NB,7,2,,,,,
23115,天粟马角,idiom,1.0,1.0,NJ,9,2,,,,,
23116,天随人原,idiom,1.0,1.0,PA,9,1,,,,,
23117,添油加醋,idiom,1.0,1.0,NN,7,2,,,,,
23118,恬不为意,idiom,1.0,1.0,PE,7,1,,,,,
23119,挑三嫌四,idiom,1.0,1.0,NN,5,7,,,,,
23120,条条框框,idiom,1.0,1.0,NN,7,2,,,,,
23121,铁板歌喉,idiom,1.0,1.0,PH,7,1,,,,,
23122,铁画银钩,idiom,1.0,1.0,PH,7,1,,,,,
23123,铁壁铜山,idiom,1.0,1.0,PH,9,1,,,,,
23124,通文达礼,idiom,1.0,1.0,PH,7,1,,,,,
23125,通幽动微,idiom,1.0,1.0,PH,7,1,,,,,
23126,通忧共患,idiom,1.0,1.0,PH,7,1,,,,,
23127,同力协契,idiom,1.0,1.0,PH,7,1,,,,,
23128,同心共胆,idiom,1.0,1.0,PH,7,1,,,,,
23129,同心僇力,idiom,1.0,1.0,PH,7,1,,,,,
23130,同明相照,idiom,1.0,1.0,PH,9,1,,,,,
23131,同德同心,idiom,1.0,1.0,PH,7,1,,,,,
23132,同类相妒,idiom,1.0,1.0,NK,7,2,,,,,
23133,铜筋铁肋,idiom,1.0,1.0,PH,9,1,,,,,
23134,头出头没,idiom,1.0,1.0,NN,7,2,,,,,
23135,头焦额烂,idiom,1.0,1.0,NN,7,2,,,,,
23136,投刃皆虚,idiom,1.0,1.0,PH,7,1,,,,,
23137,投桃报李,idiom,1.0,1.0,PH,9,1,,,,,
23138,酬谢,noun,1.0,1.0,PD,5,1,,,,,
23139,垂危,adj,1.0,1.0,NB,7,2,,,,,
23140,摧陷廓清,idiom,1.0,1.0,PH,7,1,,,,,
23141,存心积虑,idiom,1.0,1.0,ND,7,2,,,,,
23142,寸善片长,idiom,1.0,1.0,PB,5,1,,,,,
23143,错彩镂金,idiom,1.0,1.0,PH,7,1,,,,,
23145,打铁趁热,idiom,1.0,1.0,PH,5,1,,,,,
23146,大直若屈,idiom,1.0,1.0,PH,7,1,,,,,
23147,大家风范,idiom,1.0,1.0,PH,5,1,,,,,
23148,大路椎轮,idiom,1.0,1.0,PH,5,1,,,,,
23149,大缪不然,idiom,1.0,1.0,NN,5,2,,,,,
23150,带金佩紫,idiom,1.0,1.0,PD,5,1,,,,,
23151,戴玄履黄,idiom,1.0,1.0,PH,5,1,,,,,
23152,戴霜履冰,idiom,1.0,1.0,PH,5,1,,,,,
23153,单见浅闻,idiom,1.0,1.0,NN,5,2,,,,,
23154,殚诚毕虑,idiom,1.0,1.0,PH,5,1,,,,,
23155,胆大泼天,idiom,1.0,1.0,PH,5,1,,,,,
23156,胆裂魂飞,idiom,1.0,1.0,NC,9,2,,,,,
23157,诞谩不经,idiom,1.0,1.0,NN,5,2,,,,,
23158,党邪丑正,idiom,1.0,1.0,NN,5,2,,,,,
23159,刀头燕尾,idiom,1.0,1.0,PH,5,1,,,,,
23160,倒持太阿,idiom,1.0,1.0,NN,5,2,,,,,
23161,蹈火探汤,idiom,1.0,1.0,PH,5,1,,,,,
23162,道同志合,idiom,1.0,1.0,PG,5,1,,,,,
23163,道高德重,idiom,1.0,1.0,PD,5,1,,,,,
23164,道尽途殚,idiom,1.0,1.0,NB,5,0,,,,,
23165,道边苦李,idiom,1.0,1.0,NN,5,2,,,,,
23167,德隆望重,idiom,1.0,1.0,PD,7,1,,,,,
23168,低唱浅斟,idiom,1.0,1.0,PE,5,0,,,,,
23169,砥节砺行,idiom,1.0,1.0,PH,5,1,,,,,
23170,点头会意,idiom,2.0,2.0,PH,5,1,,,,,
23171,雕虫小艺,idiom,1.0,1.0,NN,5,2,,,,,
23172,钓名沽誉,idiom,1.0,1.0,NN,5,2,,,,,
23173,调词架讼,idiom,1.0,1.0,NN,5,2,,,,,
23174,跌脚槌胸,idiom,1.0,1.0,NB,5,2,,,,,
23175,顶门壮户,idiom,1.0,1.0,PH,5,1,,,,,
23176,丢魂失魄,idiom,1.0,1.0,NI,7,2,,,,,
23177,东扯西拉,idiom,1.0,1.0,NN,5,2,,,,,
23178,东南之宝,idiom,1.0,1.0,PH,5,1,,,,,
23179,东窗消息,idiom,1.0,1.0,NN,5,2,,,,,
23180,滑溜,adj,1.0,1.0,PB,5,1,,,,,
23181,锵金鸣玉,idiom,1.0,1.0,PE,5,2,,,,,
23182,强食弱肉,idiom,1.0,1.0,NN,5,2,,,,,
23183,墙高基下,idiom,1.0,1.0,NN,7,2,,,,,
23184,敲骨剥髓,idiom,1.0,1.0,NN,7,2,,,,,
23185,憔神悴力,idiom,1.0,1.0,PH,5,1,,,,,
23186,切理会心,idiom,1.0,1.0,PA,5,1,,,,,
23187,琴断朱弦,idiom,1.0,1.0,NB,7,0,,,,,
23188,青出於蓝,idiom,1.0,1.0,PH,7,1,,,,,
23189,青蝇染白,idiom,1.0,1.0,NN,5,2,,,,,
23190,轻车熟道,idiom,1.0,1.0,PH,5,1,,,,,
23191,轻财好义,idiom,1.0,1.0,PH,5,1,,,,,
23192,轻薄无知,idiom,1.0,1.0,NN,5,2,,,,,
23193,清风朗月,idiom,1.0,1.0,PE,5,1,,,,,
23194,情凄意切,idiom,1.0,1.0,NB,5,2,,,,,
23195,曲意承迎,idiom,1.0,1.0,NN,5,2,,,,,
23196,去邪归正,idiom,1.0,1.0,PH,7,1,,,,,
23198,鹊巢鸠据,idiom,1.0,1.0,NN,6,2,,,,,
23199,惹草沾花,idiom,1.0,1.0,NN,4,2,,,,,
23201,仁人义士,idiom,1.0,1.0,PH,5,1,,,,,
23203,日角龙庭,idiom,1.0,1.0,PH,5,1,,,,,
23204,日暖风和,idiom,1.0,1.0,PE,4,1,,,,,
23206,柔远能迩,idiom,1.0,1.0,PB,5,1,,,,,
23207,如之奈何,idiom,1.0,1.0,NJ,5,2,,,,,
23208,如坐春风,idiom,1.0,1.0,PD,5,1,,,,,
23209,如狼如虎,idiom,1.0,1.0,NC,5,2,,,,,
23210,如汤灌雪,idiom,1.0,1.0,PG,5,1,,,,,
23211,如胶投漆,idiom,1.0,1.0,PB,5,1,,,,,
23212,如原以偿,idiom,1.0,1.0,PA,5,1,,,,,
23213,乳声乳气,idiom,1.0,1.0,NN,5,2,,,,,
23214,入孝出弟,idiom,1.0,1.0,PH,5,1,,,,,
23216,枘凿冰炭,idiom,1.0,1.0,NN,5,2,,,,,
23217,洒心更始,idiom,1.0,1.0,PG,5,1,,,,,
23219,三好二怯,idiom,1.0,1.0,NB,5,2,,,,,
23220,三贞五烈,idiom,1.0,1.0,PH,5,1,,,,,
23221,三阳交泰,idiom,1.0,1.0,PA,5,1,,,,,
23222,三头两日,idiom,1.0,1.0,ND,5,2,,,,,
23223,散灰扃户,idiom,1.0,1.0,NN,5,2,,,,,
23224,桑间之音,idiom,1.0,1.0,NN,5,2,,,,,
23225,搔着痒处,idiom,1.0,1.0,PA,5,1,,,,,
23226,山包海容,idiom,1.0,1.0,PH,5,1,,,,,
23227,山亏一篑,idiom,1.0,1.0,NJ,5,2,,,,,
23228,伤心蒿目,idiom,1.0,1.0,NB,5,2,,,,,
23229,赏信罚必,idiom,1.0,1.0,PH,5,1,,,,,
23230,上下同心,idiom,1.0,1.0,PH,5,1,,,,,
23231,舍策追羊,idiom,1.0,1.0,PH,5,1,,,,,
23233,身先朝露,idiom,1.0,1.0,NB,5,2,,,,,
23234,身做身当,idiom,1.0,1.0,PH,5,1,,,,,
23235,身废名裂,idiom,1.0,1.0,NN,5,2,,,,,
23237,深根固本,idiom,1.0,1.0,PH,5,1,,,,,
23238,深恶痛嫉,idiom,1.0,1.0,ND,5,2,,,,,
23239,神不收舍,idiom,1.0,1.0,NI,5,2,,,,,
23240,神奸巨猾,idiom,1.0,1.0,NN,5,2,,,,,
23241,神采英拔,idiom,1.0,1.0,PH,5,1,,,,,
23242,神逝魄夺,idiom,1.0,1.0,NC,5,2,,,,,
23243,神超形越,idiom,1.0,1.0,PA,5,1,,,,,
23245,神经错乱,idiom,1.0,1.0,NI,5,2,,,,,
23246,神头鬼脸,idiom,1.0,1.0,ND,5,2,,,,,
23247,失之交臂,idiom,1.0,1.0,NN,5,2,,,,,
23248,失张失智,idiom,1.0,1.0,NI,5,2,,,,,
23250,刺目,adj,1.0,1.0,ND,3,2,,,,,
23251,从容,adj,1.0,1.0,PE,7,1,,,,,
23252,醋劲儿,adj,1.0,1.0,NK,7,2,,,,,
23253,错杂,noun,1.0,1.0,NE,5,2,,,,,
23254,打群架,noun,1.0,1.0,,7,2,,,,,
23255,大年初一,noun,1.0,1.0,PA,7,1,,,,,
23256,正骨,noun,1.0,1.0,PH,5,1,,,,,
23257,天涯若比邻,idiom,1.0,1.0,PD,7,1,,,,,
23259,误点,verb,1.0,1.0,NE,5,2,,,,,
23260,牺牲,verb,2.0,2.0,PD,5,1,,,,,
23261,嬉笑,verb,1.0,1.0,PA,5,0,,,,,
23262,喜钱,noun,1.0,1.0,PA,1,0,,,,,
23263,系缚,verb,1.0,1.0,ND,3,2,,,,,
23264,狎妓,verb,1.0,1.0,ND,3,2,,,,,
23265,下风,noun,2.0,2.0,NN,3,0,,,,,
23266,罅隙,noun,1.0,1.0,NN,1,2,,,,,
23267,鲜货,noun,1.0,1.0,PH,1,0,,,,,
23268,闲篇,verb,1.0,1.0,ND,1,0,,,,,
23269,闲杂人员,noun,1.0,1.0,ND,1,0,,,,,
23270,显赫,adj,1.0,1.0,PH,5,0,,,,,
23271,险地,noun,1.0,1.0,NC,5,0,,,,,
23272,现成话,noun,1.0,1.0,NN,5,2,,,,,
23273,陷于,verb,1.0,1.0,NE,3,0,,,,,
23274,撒旦,noun,1.0,1.0,NC,7,2,,,,,
23276,散亡,verb,1.0,1.0,NB,3,2,,,,,
23277,丧事,noun,1.0,1.0,NB,7,2,,,,,
23278,扫榻,verb,1.0,1.0,PD,5,1,,,,,
23279,歃血,noun,1.0,1.0,PG,5,1,,,,,
23280,闪耀,adj,1.0,1.0,PH,7,1,,,,,
23281,善邻,noun,1.0,1.0,PB,1,1,,,,,
23282,商榷,noun,1.0,1.0,PD,1,1,,,,,
23283,赏光,noun,1.0,1.0,PD,3,1,,,,,
23284,上宾,noun,1.0,1.0,PD,5,1,,,,,
23285,上峰,noun,1.0,1.0,PD,3,1,,,,,
23286,谨防,verb,1.0,1.0,NC,5,0,,,,,
23287,惊魂,verb,1.0,1.0,NI,9,0,,,,,
23288,原来,verb,2.0,2.0,PC,5,1,,,,,
23289,增进,verb,1.0,1.0,PA,7,1,,,,,
23290,财礼,noun,1.0,1.0,PB,5,1,,,,,
23291,查抄,verb,1.0,1.0,NN,5,2,,,,,
23292,各行其是,idiom,1.0,1.0,NN,5,2,,,,,
23293,一盘散沙,idiom,1.0,1.0,NN,5,2,,,,,
23294,蒙在鼓里,idiom,1.0,1.0,NN,3,2,,,,,
23295,牗中窥日,idiom,1.0,1.0,NN,5,2,,,,,
23296,人穷智短,idiom,1.0,1.0,NN,5,2,,,,,
23297,挈瓶之知,idiom,1.0,1.0,NN,5,2,,,,,
23298,浅见寡闻,idiom,1.0,1.0,NN,5,2,,,,,
23299,不成才,idiom,1.0,1.0,NN,5,2,,,,,
23300,撑肠拄腹,idiom,1.0,1.0,PA,3,1,,,,,
23301,振臂一呼,idiom,1.0,1.0,PH,5,1,,,,,
23302,东闪西躲,idiom,1.0,1.0,NN,5,2,,,,,
23303,亦步亦趋,idiom,1.0,1.0,NN,3,2,,,,,
23304,一定之规,idiom,1.0,1.0,PH,3,1,,,,,
23305,沿波讨源,idiom,1.0,1.0,PH,3,1,,,,,
23306,率尔操觚,idiom,1.0,1.0,NN,3,2,,,,,
23309,义正辞严,idiom,1.0,1.0,PH,7,1,,,,,
23310,下车作威,idiom,1.0,1.0,NN,5,2,,,,,
23311,直情径行,idiom,1.0,1.0,NN,5,2,,,,,
23312,壮土解腕,idiom,1.0,1.0,PH,5,1,,,,,
23315,坐冷板凳,idiom,1.0,1.0,NN,5,2,,,,,
23316,漠不相关,idiom,1.0,1.0,NN,5,2,,,,,
23317,听之任之,idiom,1.0,1.0,NN,5,2,,,,,
23318,不以为意,idiom,1.0,1.0,NN,5,2,,,,,
23319,视如土芥,idiom,1.0,1.0,NN,5,2,,,,,
23320,大眼看小眼,idiom,1.0,1.0,NN,5,2,,,,,
23321,从善如登,idiom,1.0,1.0,PH,5,1,,,,,
23323,附骥攀鸿,idiom,1.0,1.0,NN,5,2,,,,,
23324,拒人于千里之外,idiom,1.0,1.0,NN,7,2,,,,,
23325,固执已见,idiom,1.0,1.0,NN,5,2,,,,,
23326,燎如观火,idiom,1.0,1.0,PH,9,1,,,,,
23327,列功覆过,idiom,1.0,1.0,PH,7,1,,,,,
23328,林下风致,idiom,1.0,1.0,PH,9,1,,,,,
23329,鳞集仰流,idiom,1.0,1.0,PB,9,1,,,,,
23330,灵心慧性,idiom,1.0,1.0,PH,7,1,,,,,
23331,凛如霜雪,idiom,1.0,1.0,ND,5,2,,,,,
23332,另开生面,idiom,1.0,1.0,PH,1,1,,,,,
23333,流天澈地,idiom,1.0,1.0,ND,1,2,,,,,
23334,流言飞文,idiom,1.0,1.0,NN,7,2,,,,,
23335,流离播越,idiom,1.0,1.0,PH,5,1,,,,,
23336,柳折花残,idiom,1.0,1.0,PB,7,2,,,,,
23337,柳弱花娇,idiom,1.0,1.0,PH,7,1,,,,,
23338,柳绿花红,idiom,1.0,1.0,PB,5,1,,,,,
23340,六韬三略,idiom,1.0,1.0,PH,5,1,,,,,
23341,龙多乃旱,idiom,1.0,1.0,NN,3,2,,,,,
23342,龙胡之痛,idiom,1.0,1.0,NB,9,2,,,,,
23343,龙眉凤目,idiom,1.0,1.0,PH,5,1,,,,,
23344,龙蛇飞舞,idiom,1.0,1.0,PH,5,1,,,,,
23345,龙御上宾,idiom,1.0,1.0,NB,7,2,,,,,
23346,龙凤呈祥,idiom,1.0,1.0,PA,7,1,,,,,
23347,龙潜凤采,idiom,1.0,1.0,NB,1,2,,,,,
23348,龙兴凤举,idiom,1.0,1.0,PH,9,1,,,,,
23349,龙颜凤姿,idiom,1.0,1.0,PD,5,1,,,,,
23350,龙腾凤集,idiom,1.0,1.0,PH,7,1,,,,,
23351,陋巷箪瓢,idiom,1.0,1.0,NB,3,2,,,,,
23352,镂肝鉥肾,idiom,1.0,1.0,PH,3,1,,,,,
23354,鲁鱼亥豕,idiom,1.0,1.0,NN,1,2,,,,,
23355,鲁殿灵光,idiom,1.0,1.0,PB,5,1,,,,,
23356,鹿走苏台,idiom,1.0,1.0,NB,7,2,,,,,
23357,路柳墙花,idiom,1.0,1.0,ND,5,2,,,,,
23358,露宿风餐,idiom,1.0,1.0,NB,5,2,,,,,
23359,鹭约鸥盟,idiom,1.0,1.0,PD,1,1,,,,,
23360,鸾音鹤信,idiom,1.0,1.0,PH,5,1,,,,,
23361,鸾鸣凤奏,idiom,1.0,1.0,PH,7,1,,,,,
23362,乱七八遭,idiom,1.0,1.0,NN,7,2,,,,,
23363,论长道短,idiom,1.0,1.0,NN,3,2,,,,,
23364,论辩风生,idiom,1.0,1.0,PH,3,1,,,,,
23365,驴脣不对马嘴,idiom,1.0,1.0,NN,7,2,,,,,
23366,吕武操莽,idiom,1.0,1.0,ND,7,2,,,,,
23367,履险若夷,idiom,1.0,1.0,PD,9,1,,,,,
23368,马上功成,idiom,1.0,1.0,PG,7,1,,,,,
23369,马足车尘,idiom,1.0,1.0,NB,3,0,,,,,
23370,马捉老鼠,idiom,1.0,1.0,NN,3,2,,,,,
23371,买王得羊,idiom,1.0,1.0,NJ,5,2,,,,,
23373,卖乖弄俏,idiom,1.0,1.0,ND,5,2,,,,,
23374,卖俏迎奸,idiom,1.0,1.0,ND,7,2,,,,,
23375,谩天昧地,idiom,1.0,1.0,NN,5,2,,,,,
23376,满坑满谷,idiom,1.0,1.0,NI,1,2,,,,,
23377,慢条厮礼,idiom,1.0,1.0,PE,3,0,,,,,
23378,漫条斯理,idiom,1.0,1.0,PE,3,0,,,,,
23380,冒大不韪,idiom,1.0,1.0,,9,0,,,,,
